Date,Price,Open,High,Low,Vol,Change %
"Jul 18, 2024",84.85,84.85,84.85,84.85,0.02K,+0.26%
"Jul 17, 2024",84.63,84.63,84.63,84.63,0.01K,-1.64%
"Jul 16, 2024",86.04,85.6,85.6,85.6,0.03K,+1.58%
"Jul 15, 2024",84.7,85.95,85.95,84.5,0.02K,-2.37%
"Jul 12, 2024",86.76,85.65,85.65,85.65,0.01K,+1.11%
"Jul 11, 2024",85.81,86.1,86.5,85.35,0.05K,+0.19%
"Jul 10, 2024",85.65,87,87,85.75,0.01K,-1.25%
"Jul 09, 2024",86.73,87.1,87.1,86.4,0.04K,-1.20%
"Jul 08, 2024",87.78,87.78,87.78,87.78,0.02K,-1.85%
"Jul 05, 2024",89.43,89.6,89.7,89.6,0.01K,-0.48%
"Jul 04, 2024",89.86,89.86,89.86,89.86,0.01K,+0.09%
"Jul 03, 2024",89.78,89.75,89.75,89.75,0.00K,-0.27%
"Jul 02, 2024",90.02,90.2,90.2,90,0.04K,+3.26%
"Jul 01, 2024",87.18,88,88,88,0.01K,-0.19%
"Jun 28, 2024",87.35,87.35,87.35,87.35,0.01K,+1.15%
"Jun 27, 2024",86.36,87,87,87,0.02K,+0.97%
"Jun 26, 2024",85.53,86.95,86.95,86.95,0.01K,-1.78%
"Jun 25, 2024",87.08,87.08,87.08,87.08,0.00K,+0.79%
"Jun 24, 2024",86.4,86.4,86.4,86.4,0.03K,-1.05%
"Jun 21, 2024",87.32,87.55,87.6,87.55,0.01K,-1.14%
"Jun 20, 2024",88.33,89,89,89,0.01K,-1.02%
"Jun 19, 2024",89.24,89.24,89.24,89.24,0.01K,+2.29%
"Jun 18, 2024",87.24,87.24,87.24,87.24,0.00K,+1.86%
"Jun 17, 2024",85.65,85.65,85.65,85.65,0.01K,-2.87%
"Jun 14, 2024",88.18,88.5,88.5,87.85,0.02K,-1.60%
"Jun 13, 2024",89.61,89.61,89.61,89.61,0.01K,+0.53%
"Jun 12, 2024",89.14,89.14,89.14,89.14,0.01K,+1.64%
"Jun 11, 2024",87.7,87.7,87.7,87.7,0.01K,-0.15%
"Jun 10, 2024",87.83,87.83,87.83,87.83,0.01K,+0.71%
"Jun 07, 2024",87.21,87.21,87.21,87.21,0.01K,-0.86%
"Jun 06, 2024",87.97,87.25,87.5,87.25,0.01K,+0.16%
"Jun 05, 2024",87.83,87.83,87.83,87.83,0.01K,-2.15%
"Jun 04, 2024",89.76,92,92,91.7,0.02K,-3.87%
"Jun 03, 2024",93.37,93.37,93.37,93.37,0.03K,+1.54%
"May 31, 2024",91.95,91.95,91.95,91.95,0.00K,-2.46%
"May 30, 2024",94.27,94.27,94.27,94.27,0.02K,+2.00%
"May 29, 2024",92.42,92.42,92.42,92.42,0.03K,-0.19%
"May 28, 2024",92.6,92.6,92.6,92.6,0.05K,-2.79%
"May 27, 2024",95.26,95.26,95.26,95.26,,+1.87%
"May 24, 2024",93.51,93.51,93.51,93.51,0.00K,-1.57%
"May 23, 2024",95,96.25,96.25,96.24,0.02K,+0.76%
"May 22, 2024",94.28,94.28,94.28,94.28,0.01K,+1.21%
"May 21, 2024",93.15,93,93,92.85,0.01K,+3.05%
"May 20, 2024",90.39,90.39,90.39,90.39,0.01K,+3.04%
"May 17, 2024",87.72,87.72,87.72,87.72,0.02K,+0.60%
"May 16, 2024",87.2,87,87,87,0.01K,+2.04%
"May 15, 2024",85.46,87.35,87.35,87.35,0.04K,-1.38%
"May 14, 2024",86.66,87.5,87.5,87.5,0.06K,+0.88%
"May 13, 2024",85.9,85.9,85.9,85.9,0.07K,-2.20%
"May 10, 2024",87.83,87.83,87.83,87.83,0.02K,-1.76%
"May 09, 2024",89.4,89.4,89.4,89.4,0.01K,+2.17%
"May 08, 2024",87.5,87.5,87.5,87.5,,+0.26%
"May 07, 2024",87.27,86.95,86.95,86.95,0.00K,-1.53%
"May 06, 2024",88.63,88.63,88.63,88.63,0.02K,+2.11%
"May 03, 2024",86.8,87.55,87.55,87.55,0.01K,-0.63%
"May 02, 2024",87.35,87.25,87.25,87.25,0.01K,+5.24%
"Apr 30, 2024",83,83.35,83.35,83.35,0.02K,+3.96%
"Apr 29, 2024",79.84,79.84,79.84,79.84,0.00K,-2.87%
"Apr 26, 2024",82.2,83.5,83.5,82.2,0.04K,-2.14%
"Apr 25, 2024",84,84,84,84,0.01K,+2.40%
"Apr 24, 2024",82.03,82.03,82.03,82.03,0.01K,+1.25%
"Apr 23, 2024",81.02,82.65,82.65,81,0.01K,-1.50%
"Apr 22, 2024",82.25,82.25,82.25,82.25,0.01K,-2.51%
"Apr 19, 2024",84.37,84.37,84.37,84.37,,-5.26%
"Apr 18, 2024",89.05,87.5,89.5,87.5,0.01K,+1.88%
"Apr 17, 2024",87.41,87.5,87.5,87.5,0.01K,-5.27%
"Apr 16, 2024",92.27,90,90,90,0.03K,+4.50%
"Apr 15, 2024",88.3,88,88.5,88,0.02K,-0.14%
"Apr 12, 2024",88.42,88.9,88.9,88.9,0.02K,+3.89%
"Apr 11, 2024",85.11,84,84,84,0.02K,+7.42%
"Apr 10, 2024",79.23,79.23,79.23,79.23,0.01K,-1.33%
"Apr 09, 2024",80.3,80.3,80.3,80.3,0.01K,+0.58%
"Apr 08, 2024",79.84,79.4,79.4,79.4,0.01K,+4.94%
"Apr 05, 2024",76.08,76,76,76,0.01K,+1.96%
"Apr 04, 2024",74.62,74.62,74.62,74.62,0.00K,+2.35%
"Apr 03, 2024",72.91,73.5,73.5,73.5,0.01K,-2.37%
"Apr 02, 2024",74.68,74.68,74.68,74.68,,-3.68%
"Mar 28, 2024",77.53,77.53,77.53,77.53,0.02K,-0.93%
"Mar 27, 2024",78.26,78.26,78.26,78.26,0.00K,+1.31%
"Mar 26, 2024",77.25,77.25,77.25,77.25,0.01K,-3.21%
"Mar 25, 2024",79.81,79.2,79.2,79.2,0.02K,+4.63%
"Mar 22, 2024",76.28,75.3,75.3,75.3,0.01K,+3.50%
"Mar 21, 2024",73.7,73.7,73.7,73.7,0.01K,-4.29%
"Mar 20, 2024",77,77,77,77,0.02K,-0.95%
"Mar 19, 2024",77.74,77.74,77.74,77.74,0.03K,-1.26%
"Mar 18, 2024",78.73,78.5,78.5,78.5,0.02K,+4.04%
"Mar 15, 2024",75.67,75.45,75.5,75.25,0.04K,+2.46%
"Mar 14, 2024",73.85,73.85,73.85,73.85,0.01K,+4.92%
"Mar 13, 2024",70.39,70.55,70.6,70.4,0.02K,-0.27%
"Mar 12, 2024",70.58,70.5,70.55,70.5,0.01K,-1.19%
"Mar 11, 2024",71.43,72,72,71.35,0.01K,-4.65%
"Mar 08, 2024",74.91,74.6,74.6,74.55,0.01K,-0.81%
"Mar 07, 2024",75.52,76,77.5,76,0.03K,-1.50%
"Mar 06, 2024",76.67,78.96,79.31,77.25,0.03K,-1.21%
"Mar 05, 2024",77.61,77.6,77.81,76.91,0.04K,+5.59%
"Mar 04, 2024",73.5,75,75,75,0.01K,0.00%
"Mar 01, 2024",73.5,73.5,73.5,73.5,0.00K,+1.37%
"Feb 29, 2024",72.51,72.85,72.85,72.85,0.02K,-1.91%
"Feb 28, 2024",73.92,72.54,73,72.54,0.02K,+4.76%
"Feb 27, 2024",70.56,70.75,70.75,70.75,0.01K,+2.44%
"Feb 26, 2024",68.88,66.5,68.75,66.5,0.01K,+3.28%
"Feb 23, 2024",66.69,66.2,66.2,66.2,0.02K,-0.40%
"Feb 22, 2024",66.96,67.8,67.8,67,0.01K,-1.36%
"Feb 21, 2024",67.88,67.8,68.15,67.8,0.01K,-0.63%
"Feb 20, 2024",68.31,67.6,67.6,67.15,0.01K,+1.20%
"Feb 19, 2024",67.5,68.35,68.35,67.4,0.01K,-3.96%
"Feb 16, 2024",70.28,70.25,70.25,70.25,0.00K,-0.89%
"Feb 15, 2024",70.91,71.25,72,71.25,0.02K,+0.78%
"Feb 14, 2024",70.36,70.3,70.35,70.3,0.01K,-1.08%
"Feb 13, 2024",71.13,71.13,71.13,71.13,0.01K,-0.71%
"Feb 12, 2024",71.64,71.64,71.64,71.64,0.00K,-1.59%
"Feb 09, 2024",72.8,72.8,72.8,72.8,0.01K,-2.95%
"Feb 08, 2024",75.01,75.01,75.01,75.01,0.00K,-1.76%
"Feb 07, 2024",76.35,76.35,76.35,76.35,0.00K,-1.55%
"Feb 06, 2024",77.55,77.55,77.55,77.55,0.01K,+0.26%
"Feb 05, 2024",77.35,77.35,77.35,77.35,0.00K,-2.83%
"Feb 02, 2024",79.6,79.6,79.6,79.6,0.01K,+1.26%
"Feb 01, 2024",78.61,78.5,78.6,78.5,0.01K,-1.92%
"Jan 31, 2024",80.15,80,80.19,80,0.03K,+2.11%
"Jan 30, 2024",78.49,78.49,78.49,78.49,0.01K,+1.53%
"Jan 29, 2024",77.31,77.35,77.35,77.35,0.03K,-0.99%
"Jan 26, 2024",78.08,78.08,78.08,78.08,0.00K,+0.33%
"Jan 25, 2024",77.82,77.82,77.82,77.82,0.03K,-3.51%
"Jan 24, 2024",80.65,80.1,80.75,80.1,0.02K,+3.53%
"Jan 23, 2024",77.9,77.9,77.9,77.9,0.01K,+1.47%
"Jan 22, 2024",76.77,76.77,76.77,76.77,0.01K,-3.31%
